Taiwán,23503349,36193,Asia 
Isla De Norfolk,2302,36,Oceania 
Hong Kong,7500700,1104,Asia 
Maldivas,540542,300,Asia 
Liberia,5057677,111369,África 
Tonga,105697,747,Oceania 
Turquía,84339067,783562,Asia 
Islas Salomón,686878,28896,Oceania 
Bermudas,63903,54,América 
Georgia,3714000,69700,Asia 
Colombia,50882884,1141748,América 
Malta,525285,316,Europa 
Azerbaiyán,10110116,86600,Asia 
Sudán,43849269,1886068,África 
Alandia,29458,1580,Europa 
Honduras,9904608,112492,América 
Pakistán,220892331,881912,Asia 
Reunión,840974,2511,África 
Chad,16425859,1284000,África 
Noruega,5379475,323802,Europa 
Eritrea,5352000,117600,África 
Nicaragua,6624554,130373,América 
Nigeria,206139587,923768,África 
Argentina,45376763,2780400,América 
Dominica,71991,751,América 
Gambia,2416664,10689,África 
Suazilandia,1160164,17364,África 
Grenada,112519,344,América 
Cuba,11326616,109884,América 
España,47351567,505992,Europa 
Namibia,2540916,825615,África 
Islas Faroe,48865,1393,Europa 
Mónaco,39244,2,Europa 
Australia,25687041,7692024,Oceania 
Rumania,19286123,238391,Europa 
Irlanda,4994724,70273,Europa 
Líbano,6825442,10452,Asia 
Estados Unidos,329484123,9372610,América 
Armenia,2963234,29743,Asia 
Islas Tokelau,1411,12,Oceania 
Sint Maarten,40812,34,América 
Alemania,83240525,357114,Europa 
Nueva Caledonia,271960,18575,Oceania 
Samoa,198410,2842,Oceania 
Bangladesh,164689383,147570,Asia 
Isla De Navidad,2072,135,Oceania 
Micronesia,115021,702,Oceania 
Islas Ultramarinas Menores De Estados Unidos,300,34,América 
Níger,24206636,1267000,África 
Palau,18092,459,Oceania 
San Marino,33938,61,Europa 
Aruba,106766,180,América 
Timor Oriental,1318442,14874,Asia 
República Dominicana,10847904,48671,América 
Francia,67391582,551695,Europa 
Kirguizistán,6591600,199951,Asia 
Bélgica,11555997,30528,Europa 
Islandia,366425,103000,Europa 
Islas Marshall,59194,181,Oceania 
Turkmenistán,6031187,488100,Asia 
Libia,6871287,1759540,África 
Tuvalu,11792,26,Oceania 
Ucrania,44134693,603500,Europa 
Camboya,16718971,181035,Asia 
Senegal,16743930,196722,África 
Seychelles,98462,452,África 
Lituania,2794700,65300,Europa 
Irak,40222503,438317,Asia 
Bosnia Y Herzegovina,3280815,51209,Europa 
Islas Vírgenes De Los Estados Unidos,106290,347,América 
Nauru,10834,21,Oceania 
Kenia,53771300,580367,África 
Angola,32866268,1246700,África 
México,128932753,1964375,América 
Jordania,10203140,89342,Asia 
Anguilla,13452,91,América 
Islas Caimán,65720,264,América 
Nueva Zelanda,5084300,270467,Oceania 
Uruguay,3473727,181034,América 
Letonia,1901548,64559,Europa 
Etiopía,114963583,1104300,África 
Saint Martin,38659,53,América 
Botswana,2351625,582000,África 
Santo Tomé Y Príncipe,219161,964,África 
Congo,5657000,342000,África 
Comoras,869595,1862,África 
Sri Lanka,21919000,65610,Asia 
Corea Del Norte,25778815,120538,Asia 
Vanuatu,307150,12189,Oceania 
Tailandia,69799978,513120,Asia 
Islas Cook,18100,236,Oceania 
Chequia,10698896,78865,Europa 
Rusia,144104080,17098242,Europa 
Bielorrusia,9398861,207600,Europa 
Guyana,786559,214969,América 
Suecia,10353442,450295,Europa 
Isla De Man,85032,572,Europa 
Finlandia,5530719,338424,Europa 
Portugal,10305564,92090,Europa 
Burundi,11890781,27834,África 
Guernsey,62999,78,Europa 
Samoa Americana,55197,199,Oceania 
Países Bajos,16655799,41850,Europa 
Ecuador,17643060,276841,América 
Croacia,4047200,56594,Europa 
Malasia,32365998,330803,Asia 
Santa Lucía,183629,616,América 
Zambia,18383956,752612,África 
Ruanda,12952209,26338,África 
Martinica,378243,1128,América 
Bolivia,11673029,1098581,América 
Mauricio,1265740,2040,África 
Moldavia,2617820,33846,Europa 
Polonia,37950802,312679,Europa 
Niue,1470,260,Oceania 
Sierra Leone,7976985,71740,África 
Estonia,1331057,45227,Europa 
Sudán Del Sur,11193729,619745,África 
Malawi,19129955,118484,África 
Guinea Ecuatorial,1402985,28051,África 
Mozambique,31255435,801590,África 
Kosovo,1775378,10908,Europa 
Cabo Verde,555988,4033,África 
República Centroafricana,4829764,622984,África 
Macao,649342,30,Asia 
San Pedro Y Miquelón,6069,242,América 
Zimbabue,14862927,390757,África 
Wallis Y Futuna,11750,142,Oceania 
Mongolia,3278292,1564110,Asia 
Japón,125836021,377930,Asia 
Djibouti,988002,23200,África 
Luxemburgo,632275,2586,Europa 
China,1402112000,9706961,Asia 
Tanzania,59734213,945087,África 
Fiyi,896444,18272,Oceania 
Montenegro,621718,13812,Europa 
Curazao,155014,444,América 
Bután,771612,38394,Asia 
Santa Elena- Ascensión Y Tristán De Acuña,53192,394,África 
Albania,2837743,28748,Europa 
Austria,8917205,83871,Europa 
Corea Del Sur,51780579,100210,Asia 
Surinam,586634,163820,América 
Eslovenia,2100126,20273,Europa 
Dinamarca,5831404,43094,Europa 
Lesotho,2142252,30355,África 
Kiribati,119446,811,Oceania 
Serbia,6908224,88361,Europa 
Islas Vírgenes Del Reino Unido,30237,151,América 
Guatemala,16858333,108889,América 
Congo (Rep. Dem.),108407721,2344858,África 
Puerto Rico,3194034,8870,América 
Palestina,4803269,6220,Asia 
Andorra,77265,468,Europa 
Costa De Marfil,26378275,322463,África 
